IP-ADDRESS,PING-RESPONCE,IPID-ICMP,IPID-TCP,PORT-RESULT,COOKIES,TTL,WINDOW-SIZE,OS-TYPE,OS-FAMILY,
84.180.6.23,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
36.231.41.228,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
84.141.18.112,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
151.40.235.218,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
98.115.33.203,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
79.117.136.240,ON,INCREMENTAL,ZERO,OPEN,NOT-DEPLOYED,53,8192,Linux Most likely,LINUX,
86.27.0.120,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,52,CLOSED-PORT,Linux Most likely,LINUX,
217.43.13.240,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2.4.152.184,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
186.137.172.15,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,52,CLOSED-PORT,Linux Most likely,LINUX,
108.31.218.244,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,54,CLOSED-PORT,Linux Most likely,LINUX,
146.212.139.101,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
87.166.210.157,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
217.93.185.74,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,54,CLOSED-PORT,Linux Most likely,LINUX,
217.227.174.23,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
73.84.83.253,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,42,CLOSED-PORT,Linux Most likely,LINUX,
42.194.230.121,ON,RANDOM,ZERO,OPEN,NOT-DEPLOYED,45,8192,Linux Most likely,LINUX,
62.163.26.45,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
151.50.163.164,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
 ,,,,,,,,,,
RESPONCE%,ICMPID-ZERO%,ICMPID-INCREMENTAL%,ICMPID-RANDOM%,PORT-RESPONCE%,TCPID-ZERO%,TCPID-INCREMENTAL%,TCPID-RANDOM%,COOKIE-DEPLOYED%,LINUX%,WINDOWS%
51.61290323,9.677419355,21.50537634,20.43010753,10.75268817,9.6774193,0,1.075268817,2.150537634,49.46236559,0
,,,,,,,,,,
Of the Responcive Devices : 96 Active,,,,,,,,,,
Thus the adjusted % are ------>,18.75%,41.67%,39.58%,20.83%,18.75%,0%,2.08%,4.17%,95.83%,0%
